ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
336-28-7450|376464170805315|Rachael|Pearson|F|30923 Thomas Crescent|Kingston|PA|18704|41.2742|-75.8903|31206|Surveyor, rural practice|1992-10-15|240293786713|adults_2550_female_urban.json
263-99-6044|4241904966319315|Michael|Turner|M|058 Stanley Cliff|El Dorado Hills|CA|95762|38.685|-121.068|38797|Risk manager|1968-02-18|376443331852|adults_50up_male_urban.json
431-63-1730|6572628498776940|Frank|Sanchez|M|7379 Rogers Park|Dayton|OH|45420|39.7171|-84.1342|479994|Journalist, broadcasting|1994-04-30|533356940935|adults_2550_male_urban.json
817-34-5577|4808313678377701435|Jennifer|Sanchez|F|8856 Bell Motorway Suite 443|Sandy|UT|84092|40.5834|-111.7467|105585|Community arts worker|1979-07-14|213551290143|adults_2550_female_urban.json
761-69-3034|4749894134350|Christopher|Smith|M|0084 Dana Terrace|Greenbrier|AR|72058|35.2295|-92.3578|15911|Recycling officer|1984-03-26|958218317578|adults_2550_male_urban.json
292-61-7844|30520471167198|Lori|Brown|F|413 Angela Mall|Fort Worth|TX|76110|32.7065|-97.3375|813980|Trading standards officer|1947-04-26|870143739098|adults_50up_female_urban.json
795-67-6233|38496499091334|Deborah|Miller|F|81206 Norris Mountains|Henderson|NV|89044|35.9025|-115.1789|264999|Horticulturist, amenity|1967-02-19|253543257595|adults_50up_female_urban.json
290-90-7439|2244936183242103|Christopher|Parker|M|1746 Mason Park Suite 190|Flushing|MI|48433|43.072|-83.8424|26497|Podiatrist|1981-07-08|355342117469|adults_2550_male_urban.json
027-12-3751|4490278742967178|Hannah|Cook|F|56746 Shawn Island|Delta|PA|17314|39.7518|-76.3441|5929|Forensic psychologist|1961-10-02|125942501921|adults_50up_female_urban.json
414-66-0019|4603859770348243|Jessica|Wolfe|F|93248 Andrea Course|Elwood|IL|60421|41.426|-88.0864|3968|Equality and diversity officer|1942-04-24|927679680601|adults_50up_female_urban.json
473-16-2523|30484677378267|Cheryl|Greene|F|46584 Justin Hills|Lakewood|OH|44107|41.4847|-81.8018|52244|Theatre manager|1964-10-26|539705335953|adults_50up_female_urban.json
458-69-7936|378867533963605|Emily|Kennedy|F|2702 Kane Well Suite 187|Atkinson|NH|03811|42.837|-71.1603|6753|Administrator, local government|2006-07-29|157721695267|young_adults_female_urban.json
671-20-1226|30459615865781|Amanda|Jones|F|16117 Heather Burgs Apt. 504|Walnut Creek|CA|94598|37.9194|-122.0259|82557|Mechanical engineer|2000-09-11|474056332778|adults_2550_female_urban.json
544-53-9273|4221969379237473|David|Smith|M|8217 Huerta Hills Suite 474|Pittsfield|MA|01201|42.4531|-73.2471|46504|Engineer, civil (contracting)|1967-10-19|425199071794|adults_50up_male_urban.json
110-31-6249|3594406409097438|Lisa|Gomez|F|421 Kyle Mill|Crivitz|WI|54114|45.2617|-88.078|5178|Analytical chemist|1967-04-07|401921209060|adults_50up_female_urban.json
093-38-5353|3523285884247452|Robert|Mcdonald|M|36851 Smith Plain|Houston|TX|77081|29.7119|-95.4845|2906700|Community pharmacist|1979-02-09|405680216951|adults_2550_male_urban.json
689-34-9578|6513709859317466|Audrey|Williams|F|7113 Paul Land|Little Rock|AR|72212|34.7871|-92.4222|214454|Sound technician, broadcasting/film/video|1950-07-21|646045230097|adults_50up_female_urban.json
159-54-1623|36405377351589|Stephanie|Newman|F|4317 Elizabeth Row|Oakley|CA|94561|37.994|-121.7036|36515|Therapist, speech and language|2005-05-14|25645650502|young_adults_female_urban.json
342-32-2064|3518393352904229|Kimberly|Lindsey|F|020 Tyler Freeway|Morehead|KY|40351|38.199|-83.4436|20329|Theatre stage manager|1993-04-26|18570457049|adults_2550_female_urban.json
054-17-6898|213117758917830|Theresa|Williams|F|0076 Parks Overpass Suite 115|Jasper|TX|75951|30.8673|-93.9977|16134|Translator|1959-07-18|69356565695|adults_50up_female_urban.json
640-82-9591|180069847896112|Sarah|Curtis|F|7365 Ross Stream|Downingtown|PA|19335|40.0161|-75.7183|46984|Chief of Staff|1991-04-17|469493820213|adults_2550_female_urban.json
262-48-2501|4111161528098856|Michael|Jenkins|M|049 Bell Ports Apt. 273|Fruitland|MD|21826|38.3225|-75.6228|4837|Clinical cytogeneticist|1997-02-26|929216664078|adults_2550_male_urban.json
118-98-4565|3568998094024455|Heather|White|F|612 Christopher Pines|Millersburg|OH|44654|40.5567|-81.8324|19679|Engineer, structural|1959-07-07|461177243339|adults_50up_female_urban.json
162-48-5106|3599102290147672|Lisa|Perry|F|156 Justin Springs|Las Vegas|NV|89108|36.2044|-115.2233|1417793|Therapist, horticultural|1956-11-02|577615689420|adults_50up_female_urban.json
047-29-6476|3503432445107627|Carl|Patel|M|851 Hensley Canyon|Colorado Springs|CO|80918|38.9129|-104.7734|525713|Press photographer|1943-05-28|502591667934|adults_50up_male_urban.json
883-41-9434|6564160529751619|Dana|Chapman|F|4535 Charles Roads|Lindon|UT|84042|40.3412|-111.7144|10094|Clothing/textile technologist|1971-01-13|560624678846|adults_50up_female_urban.json
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Tulsa|OK|74110|36.1803|-95.9525|413574|Management consultant|2000-01-21|79488406665|adults_2550_female_urban.json
463-05-0933|371199867980790|Matthew|Morris|M|207 Lisa Villages Suite 182|Washington|PA|15301|40.1717|-80.256|49331|Archaeologist|1978-02-06|778453131767|adults_2550_male_urban.json
450-68-8565|3555466590515181|Meghan|Mitchell|F|1925 Ponce Square|Tolleson|AZ|85353|33.4347|-112.2774|31011|Nurse, children's|1976-06-03|653388872137|adults_2550_female_urban.json
087-40-9158|6528168505423579|Cheryl|Cooke|F|41888 Ebony Wells|Southaven|MS|38671|34.9771|-89.9992|46961|Waste management officer|1954-06-29|653397880348|adults_50up_female_urban.json
167-24-2713|3506537947383471|Stuart|Lee|M|4688 Burch Viaduct Apt. 924|Morristown|TN|37814|36.2248|-83.3118|50515|Associate Professor|1988-10-30|531034820387|adults_2550_male_urban.json
568-14-8453|2261247826137504|Jason|Sanders|M|61530 Galvan Villages Suite 220|Thomaston|CT|06787|41.6786|-73.0886|7975|Historic buildings inspector/conservation officer|1974-10-22|914473253283|adults_50up_male_urban.json
852-18-7686|30010432898610|Paula|Young|F|36971 Mary Parks|Mesquite|TX|75180|32.7212|-96.6153|163734|Therapist, speech and language|1990-04-29|19482202674|adults_2550_female_urban.json
589-31-2353|4095396218518888801|James|Harrison|M|4051 Allen Shoals Apt. 952|Warrensburg|MO|64093|38.7667|-93.7273|27608|Armed forces operational officer|1974-06-27|598513567016|adults_50up_male_urban.json
659-23-7613|3522170430305486|James|Ochoa|M|0345 Michelle Isle Suite 156|Benwood|WV|26031|40.0085|-80.7226|1755|Office manager|1998-10-31|484228819436|adults_2550_male_rural.json
396-44-3061|38584161692842|Frank|Miller|M|7962 Bell Canyon Suite 964|Walnut Cove|NC|27052|36.3189|-80.1484|10624|Barista|1992-05-05|734761706971|adults_2550_male_urban.json
373-66-2622|503897021351|Heidi|Herring|F|275 Wallace Club|Moosup|CT|06354|41.721|-71.885|6141|Teacher, secondary school|1963-08-19|580411980930|adults_50up_female_urban.json
322-84-4567|4027868144733|Whitney|Mitchell|F|12172 Osborn Valleys Suite 518|Detroit|MI|48205|42.4313|-82.9813|673342|Special effects artist|1985-07-28|980499639968|adults_2550_female_urban.json
162-92-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Fort Worth|TX|76110|32.7065|-97.3375|813980|Comptroller|1997-10-29|352068690122|adults_2550_male_urban.json
461-60-8477|348922680182421|Christopher|Donovan|M|8414 Cynthia Plaza|New York City|NY|10029|40.7918|-73.9448|1577385|Haematologist|1999-10-04|687732369667|adults_2550_male_urban.json
547-12-8235|4992299590010948|Matthew|Wang|M|078 May Hollow Suite 364|Kalona|IA|52247|41.4823|-91.7057|5645|Professor Emeritus|1932-11-25|756227660834|adults_50up_male_urban.json
451-54-7934|30359255562583|Justin|Flores|M|47321 Kelly Lights Suite 325|Cookeville|TN|38505|36.1418|-85.4548|65014|Technical brewer|1962-07-24|346694606719|adults_50up_male_urban.json
164-64-8434|38470168733955|Amber|Campbell|F|8016 Nicole Stream Suite 650|Hamilton|OH|45013|39.4361|-84.6185|134328|Oncologist|2000-12-14|622989978517|adults_2550_female_urban.json
372-71-4729|2298784991216553|Justin|Diaz|M|98680 Benjamin Station|Egg Harbor City|NJ|08215|39.5331|-74.6177|13442|Lecturer, further education|1983-08-28|523144049876|adults_2550_male_urban.json
153-78-8447|4952694958887945|Karen|Smith|F|169 Robles Stream Apt. 974|Fall River|MA|02723|41.6926|-71.1332|88252|Technical sales engineer|1942-07-20|251589024007|adults_50up_female_urban.json
598-62-2794|180023091307565|Brittany|Vaughn|F|970 April Points Suite 786|Houston|TX|77086|29.9227|-95.4939|2906700|Interior and spatial designer|1954-10-27|193087493940|adults_50up_female_urban.json
546-44-8951|379733484344378|Emily|Bailey|F|1986 Cardenas Trail Apt. 404|Myrtle Beach|SC|29575|33.6286|-78.9736|119080|Careers information officer|2005-12-29|719159529356|young_adults_female_urban.json
491-28-3311|180084219933088|Darius|Hall|M|5712 Tamara Estate|Upper Sandusky|OH|43351|40.8249|-83.2977|10436|Optometrist|1972-09-09|965855026307|adults_50up_male_urban.json
667-26-4707|370193802620679|Charlotte|Curry|F|04991 Mitchell Row Suite 287|New York City|NY|10032|40.8382|-73.942|1577385|Government social research officer|2005-05-30|889886348922|young_adults_female_urban.json
167-94-7519|4205493296685169|Maureen|Lopez|F|5304 Young Terrace|Gaithersburg|MD|20878|39.1125|-77.2515|135332|Geologist, engineering|1998-12-09|364874801234|adults_2550_female_urban.json
741-74-0188|4301742684145933273|Christian|Adkins|M|8783 Erin Ranch Apt. 878|North Hollywood|CA|91601|34.1687|-118.3713|155954|Medical illustrator|1982-11-17|122682170508|adults_2550_male_urban.json
561-65-3313|3525871397187075|Bonnie|Perry|F|740 Scott Alley|Omak|WA|98841|48.4143|-119.5272|9197|Engineering geologist|1933-08-11|79793239299|adults_50up_female_urban.json
353-90-1045|213117046226564|Jerry|Stark|M|1825 Gregory Plain Suite 823|Tucson|AZ|85705|32.2691|-110.9845|865276|Accountant, chartered certified|1967-03-07|24722602367|adults_50up_male_urban.json
475-87-8921|6533752431069037|Christine|Garcia|F|9030 Gonzales Plains|Phoenix|AZ|85050|33.6863|-111.9963|1312922|Engineer, water|1999-07-12|952427834357|adults_2550_female_urban.json
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Pittsburgh|PA|15216|40.4001|-80.0462|687276|Museum/gallery curator|1981-03-31|578900622716|adults_2550_male_urban.json
427-53-2445|4287334270866882637|David|Rivera|M|5183 Joseph Spring|Cedar Falls|IA|50613|42.5241|-92.4497|42031|Trade union research officer|1945-04-25|45539203444|adults_50up_male_urban.json
193-98-9627|3573540331739363|Thomas|Arnold|M|7854 Ward Parks Suite 175|Montclair|NJ|07043|40.843|-74.2011|37737|Engineer, electronics|1987-10-17|345189549205|adults_2550_male_urban.json
577-29-2391|578996423534|James|Whitaker|M|547 Murray Street Suite 228|Madison|WI|53704|43.1205|-89.3523|272940|Records manager|1961-10-19|596525278420|adults_50up_male_urban.json
061-68-0555|5206231203875093|Mark|Peck|M|700 Smith Pines Suite 840|Aurora|CO|80011|39.7378|-104.8152|389246|Retail buyer|2003-11-02|767996662339|young_adults_male_urban.json
826-23-1754|2623398454615676|Krystal|Branch|F|1016 Bennett Mountains|Torrance|CA|90503|33.8397|-118.3542|174353|Banker|1949-08-02|11324746755|adults_50up_female_urban.json
085-64-7110|4918033974014890|Matthew|White|M|39261 Martin Garden Suite 856|Long Beach|NY|11561|40.5877|-73.6595|37280|Counselling psychologist|1969-05-03|797529515996|adults_50up_male_urban.json
764-45-0880|2331599965047738|Heather|Pugh|F|96194 Jennifer Corner Suite 262|Ashton|MD|20861|39.151|-76.9924|1875|Neurosurgeon|1981-01-17|396497113885|adults_2550_female_rural.json
006-40-7287|371212678886104|Brandon|Spencer|M|0466 Jenny Points Apt. 982|Brown City|MI|48416|43.2171|-82.9978|5002|Museum/gallery conservator|1991-10-12|151051859836|adults_2550_male_urban.json
275-64-2391|2227464715437993|Christina|Rodriguez|F|65965 Cook Via Apt. 459|Hamersville|OH|45130|38.92|-83.9931|3913|Engineer, control and instrumentation|1991-01-06|345654714857|adults_2550_female_urban.json
408-41-4776|3593564651939821|Melanie|Pierce|F|374 Lori Underpass Suite 724|Baltimore|MD|21212|39.3626|-76.61|635495|Financial controller|2002-08-19|722639765311|young_adults_female_urban.json
434-49-1212|38968868058912|Brian|Wright|M|90965 Rodriguez Courts Suite 388|Boulder|CO|80310|40.0878|-105.3735|120932|Surveyor, insurance|1979-01-08|758407551188|adults_2550_male_urban.json
457-48-6409|30250714611253|Emily|Gibson|F|757 Samuel Square|Homestead|FL|33032|25.5303|-80.3918|155317|Production manager|2006-01-03|74384149802|young_adults_female_urban.json
830-91-1886|581238282585|Jessica|Murray|F|226 Johnson Ridges Apt. 796|Jeffersonville|IN|47130|38.3078|-85.7359|44722|Neurosurgeon|1958-11-01|773113226056|adults_50up_female_urban.json
286-97-1026|3582553714785969|Logan|Matthews|M|7924 Emily Island Apt. 341|Houston|TX|77042|29.7404|-95.5589|2906700|Education officer, museum|1965-08-08|761812548743|adults_50up_male_urban.json
398-54-9772|4627828274225795|Anthony|Howard|M|2368 Ortiz Overpass|Wisconsin Rapids|WI|54494|44.3758|-89.8062|34763|Pathologist|1964-09-09|926468006901|adults_50up_male_urban.json
172-11-9264|639034043849|Carol|Ellis|F|819 Joseph Plains Suite 807|Garner|NC|27529|35.6813|-78.5975|42128|Sports coach|1972-07-31|113495175185|adults_50up_female_urban.json
670-97-4056|4745171339596292335|Renee|Hudson|F|825 Roberts Grove Apt. 260|Heber|CA|92249|32.7218|-115.4383|7334|Health and safety inspector|1951-03-15|720983479468|adults_50up_female_urban.json
887-17-4091|4367294667116840|Melissa|Wiley|F|5901 Reid Square Suite 186|Cobb|CA|95426|38.8155|-122.7132|2147|Engineering geologist|1973-04-24|472309515869|adults_50up_female_rural.json
507-35-5290|4892975001701277068|Christina|Barker|F|424 Diamond Glen|Saint Petersburg|FL|33702|27.8427|-82.6448|341043|Charity fundraiser|1933-07-09|731741497149|adults_50up_female_urban.json
170-07-6494|4361103712938700|Adam|Cooper|M|2713 Davis Valley|Glen Rock|PA|17327|39.7813|-76.7477|7565|Civil engineer, consulting|1967-07-31|344040630909|adults_50up_male_urban.json
307-18-6271|4189092753269739|Brandon|Garcia|M|656 Moody Gateway|El Mirage|AZ|85335|33.6082|-112.3241|31787|Health and safety inspector|1993-08-03|92962937500|adults_2550_male_urban.json
616-77-9955|4438983640376137917|Kelsey|Levine|F|2696 Payne Extensions Suite 109|Quentin|PA|17083|40.2764|-76.4112|109|Broadcast journalist|1977-06-22|287822051149|adults_2550_female_rural.json
062-51-8301|4661889241418328564|Laurie|Hines|F|6303 Sandy Crescent|Greeley|CO|80631|40.385|-104.6806|101464|Professor Emeritus|1983-08-17|668349725580|adults_2550_female_urban.json
683-95-2878|5120275884252414|Raymond|Johnson|M|8149 Tyler Pass Suite 079|Dahlonega|GA|30533|34.5299|-83.9798|25296|Dietitian|1965-06-08|173377898839|adults_50up_male_urban.json
106-74-1890|4003075622084|Robert|Klein|M|53654 Ashley Crest Apt. 238|Newark|DE|19711|39.7011|-75.7375|138967|Armed forces training and education officer|1961-08-28|442184404040|adults_50up_male_urban.json
477-37-5091|348705349493754|Kevin|Snyder|M|832 Sarah Burg|Quitman|GA|31643|30.7797|-83.5567|8709|Exhibitions officer, museum/gallery|1991-10-18|380283040969|adults_2550_male_urban.json
711-02-5489|639064138360|Katherine|Brown|F|410 Phyllis Pike|Cincinnati|OH|45225|39.1447|-84.5533|795220|Passenger transport manager|1994-08-04|986557625325|adults_2550_female_urban.json
766-11-9516|2626199062344569|Mercedes|Moss|F|4313 Kimberly Prairie Apt. 212|Lemont|IL|60439|41.7074|-87.9756|22919|Production assistant, television|1964-09-19|345599075156|adults_50up_female_urban.json
549-46-3402|30474112490355|Brittany|Dawson|F|8044 Anthony Lodge Suite 883|Gadsden|AL|35903|33.9845|-85.9077|67082|Chief Marketing Officer|1981-08-09|113653610350|adults_2550_female_urban.json
144-16-0196|639032365194|Laurie|Lowery|F|13721 Martinez Mountain|New Lenox|IL|60451|41.5067|-87.9631|34063|Arts administrator|1992-12-21|474911216420|adults_2550_female_urban.json
405-64-0484|6525324472099933|Matthew|Porter|M|14626 Dawn Union Apt. 806|San Diego|CA|92103|32.7466|-117.1636|1241364|Mechanical engineer|1975-06-09|599060683120|adults_50up_male_urban.json
353-73-8232|374205930407856|Pamela|Key|F|33480 Barbara Union|Antioch|CA|94531|37.9658|-121.7758|102729|Network engineer|1990-05-21|192608757154|adults_2550_female_urban.json
607-41-5879|3559929378427016|Amy|Guzman|F|705 Lindsay Junctions|Savannah|GA|31408|32.1082|-81.1746|236823|Editor, film/video|1986-08-05|884414429088|adults_2550_female_urban.json
332-08-0360|4185156915452261|Ricky|Yu|M|89539 Nicholas Street Suite 220|Gallatin|TN|37066|36.3834|-86.4512|42758|Teacher, primary school|1980-01-10|933689818542|adults_2550_male_urban.json
582-05-2984|3593917251355212|Samantha|Santiago|F|0433 Michael Turnpike Apt. 006|Wilmington|DE|19805|39.7434|-75.5827|215619|Primary school teacher|1969-12-10|462707927107|adults_50up_female_urban.json
424-64-6205|371793271040546|Trevor|Jones|M|2181 Wheeler Ridges|Wilmington|OH|45177|39.4488|-83.8417|22260|Radiation protection practitioner|1934-04-14|33090595507|adults_50up_male_urban.json
670-22-9951|6011015336884442|Cynthia|Williams|F|05061 Colon Road Suite 310|Everett|MA|02149|42.4112|-71.0514|41550|Engineer, maintenance|1990-04-03|700813387933|adults_2550_female_urban.json
084-61-1893|4774186256527047740|Courtney|Adams|F|11586 Angela Ville|Eagle Butte|SD|57625|45.0016|-101.2329|4230|Naval architect|1968-08-12|574745673999|adults_50up_female_urban.json
549-88-7780|3574160898992179|Christopher|Joyce|M|20616 Wendy Road|Williamstown|KY|41097|38.6292|-84.5744|7349|Data scientist|1982-12-03|656417496092|adults_2550_male_urban.json
745-09-1426|6585487099861626|Brittany|Matthews|F|91485 Baker Shoal|Houston|TX|77072|29.699|-95.5862|2906700|Radiographer, diagnostic|1998-09-23|668176751968|adults_2550_female_urban.json
177-36-6603|4065307450544476|Scott|Cohen|M|47546 Jacob Forest|Pittsford|NY|14534|43.0695|-77.5141|31426|Optometrist|1997-05-04|535758278399|adults_2550_male_urban.json
889-48-0921|213114862890235|Sheri|Gonzalez|F|07053 Richardson Mountain|Brooklyn|NY|11217|40.6816|-73.9798|2504700|Risk analyst|1968-10-25|697489556056|adults_50up_female_urban.json
698-04-3964|379727985524140|Alyssa|Williams|F|33468 Michelle Trafficway|Fremont|CA|94536|37.5605|-121.9999|214112|Acupuncturist|2001-01-31|709237888521|adults_2550_female_urban.json
821-02-3667|4466574374896910852|Justin|Wheeler|M|1715 Davidson Wall Suite 443|San Diego|CA|92110|32.7635|-117.2028|1241364|Dealer|1959-07-08|839740381755|adults_50up_male_urban.json
059-77-6621|4207446660993534|Michael|Little|M|584 Mary Wells Apt. 417|Far Rockaway|NY|11691|40.6006|-73.758|71951|Conservation officer, historic buildings|1978-04-09|286650063966|adults_2550_male_urban.json
573-98-3000|4135346554947173|Anthony|Walters|M|3816 Gutierrez Ways|Sarasota|FL|34242|27.2566|-82.5398|232625|Dentist|1999-12-02|374522422066|adults_2550_male_urban.json
584-59-2347|341752500743293|Pamela|Burns|F|96666 Reyes Camp|Gilbert|AZ|85296|33.3354|-111.7406|211167|Social research officer, government|1975-09-04|804015362037|adults_50up_female_urban.json
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Morrilton|AR|72110|35.1692|-92.7354|11498|Emergency planning/management officer|1997-09-25|445869180665|adults_2550_male_urban.json
230-94-2150|4982150648900|Kirk|Williams|M|001 Wallace Crossing|Oceanside|CA|92057|33.2407|-117.3025|188742|Sports development officer|1958-07-01|520776545528|adults_50up_male_urban.json
211-89-0153|4184992618914117392|Christina|Baker|F|6420 Lozano Spurs|Wichita|KS|67211|37.6662|-97.3165|409656|Quarry manager|1963-04-24|259117969489|adults_50up_female_urban.json
688-12-1810|3521811437447018|Robert|Sawyer|M|5611 Alec Dam Apt. 557|Seattle|WA|98116|47.5746|-122.3934|837792|Wellsite geologist|1978-01-27|963225054391|adults_2550_male_urban.json
382-44-2997|2296746762120217|Jason|Garza|M|96590 Timothy Oval Apt. 670|Memphis|TN|38108|35.1787|-89.9682|697385|Biomedical scientist|1977-02-15|718383157138|adults_2550_male_urban.json
722-87-8599|3558891637562895|Anthony|Schneider|M|772 Karen Islands|Muscatine|IA|52761|41.4304|-91.0509|30678|Financial adviser|1989-03-13|52734283343|adults_2550_male_urban.json
564-83-6204|6011177971775176|Nichole|Smith|F|0880 Latoya River Suite 883|Palmdale|CA|93550|34.4133|-118.0917|171170|Programmer, multimedia|1949-03-23|377743898953|adults_50up_female_urban.json
056-29-7446|375711305548850|Michaela|Williams|F|2614 Jacob Walk|Bellevue|NE|68123|41.1156|-95.9393|60409|Nurse, learning disability|1970-06-24|503437123514|adults_50up_female_urban.json
196-92-5537|2309177982708083|Taylor|Roberson|F|292 Dale Shoals Suite 866|Belmar|NJ|07719|40.1688|-74.072|21538|Transport planner|1989-07-06|764143015905|adults_2550_female_urban.json
281-51-5618|4226984858333945226|Kathy|Benson|F|158 Aguilar Shores Suite 846|Richmond|VA|23228|37.625|-77.4959|536907|Administrator, Civil Service|1985-11-22|118209225199|adults_2550_female_urban.json
149-07-0928|4244204380570|Ashley|Parrish|F|863 Schwartz Causeway|New Holland|PA|17557|40.1005|-76.0801|13811|Museum/gallery curator|1990-08-28|456931067925|adults_2550_female_urban.json
702-41-9047|501843973592|Kimberly|Morrison|F|7212 Jill Crest|Grand Rapids|MI|49509|42.8975|-85.6929|375580|Multimedia programmer|1993-12-17|468325957955|adults_2550_female_urban.json
271-17-2637|3505720259094792|Joshua|Jones|M|328 Kristie Estate Suite 886|North Las Vegas|NV|89031|36.2589|-115.1718|214518|Chief Executive Officer|1959-04-13|242018842821|adults_50up_male_urban.json
680-43-5425|373987801573996|David|Williams|M|1648 Johnson Path Suite 887|Augusta|ME|04330|44.3232|-69.7665|26086|Radiographer, therapeutic|1932-01-18|322310888655|adults_50up_male_urban.json
198-42-8420|5428801336138619|Nicole|Hernandez|F|501 Brian Underpass Suite 819|Danbury|CT|06810|41.3917|-73.4532|80882|Estate agent|2005-06-09|287380499077|young_adults_female_urban.json
462-81-6627|6506180919015814|Dylan|Jennings|M|7660 Moore Forges|Houston|TX|77036|29.6984|-95.5405|2906700|Copy|1979-08-20|432704013236|adults_2550_male_urban.json
870-70-4833|4450882100996881|Travis|Torres|M|68222 Christina Glen Apt. 129|Jones Mills|PA|15646|40.3602|-79.4398|233|Audiological scientist|1994-10-14|828290403261|adults_2550_male_rural.json
563-60-9006|2261413975523148|Lisa|Mccullough|F|7594 Ariana Lakes Suite 620|Philadelphia|PA|19144|40.0338|-75.1731|1526206|Intelligence analyst|1959-04-29|864345740668|adults_50up_female_urban.json
758-83-7146|4257775478129142835|Dennis|Mercado|M|108 Lisa Prairie|Hollywood|FL|33029|25.9924|-80.4089|420284|Ophthalmologist|1977-10-12|651843751630|adults_2550_male_urban.json
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Sardis|MS|38666|34.4276|-89.9221|6915|Systems developer|1996-07-20|622549976924|adults_2550_female_urban.json
150-95-7922|343731453038560|John|Gibson|M|51844 Nicholas Lane|Orange|CT|06477|41.2815|-73.0287|13956|Medical secretary|1982-03-16|719783599768|adults_2550_male_urban.json
080-67-4122|6011865577908270|Carol|Jones|F|22259 Donna Mall Suite 177|Chesapeake|VA|23320|36.7352|-76.2384|222272|Quality manager|1981-06-08|649445028286|adults_2550_female_urban.json
